Date,Type,Exchange,Base Amount,Base Currency,Quote Amount,Quote Currency,Fee,Fee Currency
01/07/2021 14:46:25,Trade,Lykke,0.22890589,ETH,-282.0612,USD,0,
01/07/2021 14:46:20,Trade,Lykke,0.111,ETH,-136.7758,USD,0,
01/07/2021 14:46:19,Trade,Lykke,0.1194,ETH,-147.1264,USD,0,
01/07/2021 14:46:15,Trade,Lykke,0.1284,ETH,-158.2164,USD,0,
01/07/2021 14:46:14,Trade,Lykke,0.138,ETH,-170.0456,USD,0,
01/07/2021 14:46:07,Trade,Lykke,0.1484,ETH,-182.8607,USD,0,
01/07/2021 14:45:52,Trade,Lykke,0.1596,ETH,-196.6615,USD,0,
01/07/2021 14:45:51,Trade,Lykke,0.1716,ETH,-211.448,USD,0,
01/07/2021 14:45:44,Trade,Lykke,0.1845,ETH,-227.3436,USD,0,
01/07/2021 14:45:29,Trade,Lykke,0.1984,ETH,-244.4714,USD,0,
01/07/2021 14:43:26,Trade,Lykke,0.004,ETH,-4.9288,USD,0,
01/07/2021 14:34:55,Trade,Lykke,0.04055526,BTC,-1566.1143,USD,0,
01/07/2021 14:34:53,Trade,Lykke,0.00051659,BTC,-19.949,USD,0,
01/07/2021 14:34:53,Trade,Lykke,0.0005697,BTC,-21.9999,USD,0,
01/07/2021 14:34:53,Trade,Lykke,0.00318772,BTC,-123.0995,USD,0,
01/07/2021 14:34:52,Trade,Lykke,0.00261165,BTC,-100.8535,USD,0,
01/07/2021 14:34:52,Trade,Lykke,0.00261165,BTC,-100.8535,USD,0,
01/07/2021 14:34:52,Trade,Lykke,0.000649,BTC,-25.0623,USD,0,
01/07/2021 14:34:52,Trade,Lykke,0.00024468,BTC,-9.4487,USD,0,
01/07/2021 14:34:52,Trade,Lykke,0.00024468,BTC,-9.4487,USD,0,
01/07/2021 14:34:52,Trade,Lykke,0.0006,BTC,-23.1701,USD,0,
01/07/2021 12:33:00,Trade,Lykke,7731.53,USD,-6897.1432,CHF,0,
01/07/2021 10:17:31,Trade,Lykke,100,USD,-88.5,CHF,0,
01/07/2021 10:17:31,Trade,Lykke,16.2334,USD,-14.3666,CHF,0,
01/07/2021 10:04:47,CashIn,Lykke,7000,CHF,,,0,
06/20/2020 18:41:20,CashOut,Lykke,-2709.96,USD,,,0,
06/20/2020 18:38:19,Trade,Lykke,-0.2801996,BTC,2589.0444,USD,0,
06/20/2020 18:38:11,Trade,Lykke,-0.01258465,BTC,116.292,USD,0,
06/20/2020 18:38:11,Trade,Lykke,-0.0005,BTC,4.6203,USD,0,
06/18/2020 15:36:06,CashIn,Lykke,0.22250362,BTC,,,0,
04/04/2020 22:02:08,CashOut,Lykke,-0.1505,BTC,,,0.0005,BTC
04/04/2020 22:00:15,Trade,Lykke,0.14741739,BTC,-1017.18,USD,0,
04/04/2020 20:03:11,Trade,Lykke,913.38,USD,-897.9439,CHF,0,
04/04/2020 17:15:50,Trade,Lykke,97.4624,USD,-95.8143,CHF,0,
04/04/2020 16:46:31,Trade,Lykke,2.34,USD,-2.3004,CHF,0,
04/04/2020 16:24:58,Trade,Lykke,2,USD,-1.9661,CHF,0,
04/04/2020 16:24:55,Trade,Lykke,2,USD,-1.9662,CHF,0,
04/03/2020 09:07:41,CashIn,Lykke,1000,CHF,,,0,
08/10/2019 11:27:05,Trade,Lykke,0.07386324,BTC,-864.1999,USD,0,
07/24/2019 12:05:04,CashOut,Lykke,-2000,USD,,,0,
07/15/2019 14:00:30,Trade,Lykke,-0.08216881,BTC,854.5557,USD,0,
07/15/2019 11:36:27,Trade,Lykke,-0.02102518,BTC,218.6619,USD,0,
07/15/2019 11:36:27,Trade,Lykke,-0.0207126,BTC,215.4111,USD,0,
07/15/2019 09:58:05,Trade,Lykke,-0.00077307,BTC,8.04,USD,0,
07/15/2019 08:09:26,Trade,Lykke,-0.01433831,BTC,149.1185,USD,0,
07/15/2019 08:09:25,Trade,Lykke,-0.07168698,BTC,745.5446,USD,0,
07/15/2019 08:09:22,Trade,Lykke,-0.06435769,BTC,669.32,USD,0,
06/27/2019 18:33:28,Trade,Lykke,0.1336104,BTC,-1485.1032,USD,0,
06/27/2019 18:33:28,Trade,Lykke,0.00131532,BTC,-14.62,USD,0,
06/27/2019 18:33:24,Trade,Lykke,0.14013692,BTC,-1554.1027,USD,0,
06/27/2019 18:22:35,Trade,Lykke,-0.27921147,BTC,3057.3656,USD,0,
06/27/2019 09:52:31,Trade,Lykke,0.27851148,BTC,-3307.7365,USD,0,
06/27/2019 09:52:27,Trade,Lykke,0.00039999,BTC,-4.7504,USD,0,
06/27/2019 09:52:26,Trade,Lykke,0.0003,BTC,-3.5582,USD,0,
06/27/2019 09:34:39,Trade,Lykke,-0.28642185,BTC,3305.6593,USD,0,
06/27/2019 09:34:39,Trade,Lykke,-0.0009,BTC,10.3871,USD,0,
06/23/2019 20:33:45,Trade,Lykke,0.21885963,BTC,-2416.1468,USD,0,
06/23/2019 20:28:51,Trade,Lykke,0.00014128,BTC,-1.5596,USD,0,
06/23/2019 20:28:44,Trade,Lykke,0.00142094,BTC,-15.6867,USD,0,
06/23/2019 20:28:31,Trade,Lykke,0.0669,BTC,-738.5566,USD,0,
06/23/2019 18:26:58,Trade,Lykke,-0.19718921,BTC,2115.4629,USD,0,
06/23/2019 18:26:56,Trade,Lykke,-0.037,BTC,396.9392,USD,0,
06/23/2019 18:26:29,Trade,Lykke,-0.06105,BTC,654.9497,USD,0,
06/21/2019 20:46:50,CashOut,Lykke,-0.4,BSV,,,0.001,BSV
06/20/2019 01:14:45,Trade,Lykke,0.03402741,BTC,-318.1562,USD,0,
06/20/2019 01:03:14,Trade,Lykke,0.0409,BTC,-382.415,USD,0,
06/19/2019 23:20:11,Trade,Lykke,0.11704692,BTC,-1089.7899,USD,0,
06/19/2019 23:20:11,Trade,Lykke,0.0002,BTC,-1.8622,USD,0,
06/18/2019 22:01:02,Trade,Lykke,1350.85,USD,-1353.2274,CHF,0,
06/18/2019 22:00:39,Trade,Lykke,445.98,USD,-446.765,CHF,0,
06/18/2019 08:18:31,CashIn,Lykke,1800,CHF,,,0,
06/07/2019 08:13:54,Trade,Lykke,0.0270582,BTC,-217.3856,USD,0,
06/07/2019 08:10:18,Trade,Lykke,0.0004945,BTC,-3.9728,USD,0,
06/07/2019 08:09:04,Trade,Lykke,0.0221,BTC,-177.5514,USD,0,
06/06/2019 11:37:55,Trade,Lykke,-0.00863607,BTC,67.6205,USD,0,
06/06/2019 11:37:55,Trade,Lykke,-0.0085867,BTC,67.2339,USD,0,
06/06/2019 11:37:55,Trade,Lykke,-0.00547837,BTC,42.8957,USD,0,
06/06/2019 11:32:47,Trade,Lykke,-0.005653,BTC,44.263,USD,0,
06/06/2019 11:18:03,Trade,Lykke,-0.021,BTC,164.43,USD,0,
06/06/2019 11:17:29,Trade,Lykke,-0.00064154,BTC,5.0233,USD,0,
06/06/2019 09:18:07,Trade,Lykke,0.04844625,BTC,-380.134,USD,0,
06/05/2019 15:11:08,Trade,Lykke,-0.00618599,BTC,47.6322,USD,0,
06/05/2019 15:11:06,Trade,Lykke,-0.00055286,BTC,4.2571,USD,0,
06/05/2019 15:11:06,Trade,Lykke,-0.0006798,BTC,5.2345,USD,0,
06/05/2019 15:11:05,Trade,Lykke,-0.00228135,BTC,17.5664,USD,0,
06/05/2019 15:11:05,Trade,Lykke,-0.0191,BTC,148.025,USD,0,
06/05/2019 15:11:05,Trade,Lykke,-0.0012,BTC,9.24,USD,0,
06/05/2019 15:11:00,CashIn,Lykke,0.04971956,BTC,,,0,
06/05/2019 15:01:41,Trade,Lykke,-0.005,BTC,38.9059,USD,0,
06/05/2019 15:00:46,Trade,Lykke,-0.005,BTC,38.9059,USD,0,
06/05/2019 14:57:30,Trade,Lykke,-0.005,BTC,38.9059,USD,0,
06/05/2019 14:55:42,Trade,Lykke,-0.005,BTC,38.9059,USD,0,
06/05/2019 14:22:05,CashOut,Lykke,-0.0505,BTC,,,0.0005,BTC
06/05/2019 06:44:32,CashOut,Lykke,-0.0505,BTC,,,0.0005,BTC
06/04/2019 05:38:07,Trade,Lykke,0.2,BSV,-0.0052,BTC,0,
06/03/2019 11:40:30,Trade,Lykke,0.2,BSV,-0.0048,BTC,0,
06/01/2019 08:35:42,Trade,Lykke,0.1015177,BTC,-869.9998,CHF,0,
06/01/2019 08:32:43,Trade,Lykke,0.01516932,BTC,-130.0001,CHF,0,
05/31/2019 08:23:13,CashIn,Lykke,1000,CHF,,,0,
05/07/2018 17:49:05,CashOut,Lykke,-0.0105,BTC,,,0.0005,BTC
01/18/2018 18:39:56,CashOut,Lykke,-0.3,ETH,,,0,
01/15/2018 09:42:57,CashOut,Lykke,-488.92,CHF,,,0,
01/09/2018 11:16:32,Trade,Lykke,0.00001,ETH,-0.00000081,BTC,0,
01/09/2018 11:16:31,Trade,Lykke,0.07511,ETH,-0.00609517,BTC,0,
01/09/2018 11:16:29,Trade,Lykke,0.00185,ETH,-0.00015012,BTC,0,
01/09/2018 11:16:22,Trade,Lykke,0.18738,ETH,-0.01520588,BTC,0,
01/09/2018 11:15:52,Trade,Lykke,0.02328,ETH,-0.00188917,BTC,0,
01/09/2018 11:15:46,Trade,Lykke,0.01237,ETH,-0.00100382,BTC,0,
01/09/2018 11:12:06,CashIn,Lykke,0.0844,BTC,,,0,
01/09/2018 10:29:03,Trade,Lykke,-0.00000001,BTC,0.01,CHF,0,
01/09/2018 10:29:02,Trade,Lykke,-0.03185995,BTC,472.01,CHF,0,
01/09/2018 10:25:42,CashOut,Lykke,-400,CHF,,,0,
01/09/2018 10:22:37,Trade,Lykke,-0.02814004,BTC,416.9,CHF,0,
12/15/2017 13:57:43,CashOut,Lykke,-6466.23,CHF,,,0,
12/11/2017 01:26:14,Trade,Lykke,-0.35407768,BTC,5663.48,CHF,0,
12/10/2017 20:41:07,Trade,Lykke,-0.04924846,BTC,802.75,CHF,0,
12/10/2017 12:37:08,CashOut,Lykke,-0.06,BTC,,,0,
12/10/2017 08:50:52,CashOut,Lykke,-10.45,CHF,,,0,
12/10/2017 08:46:37,Trade,Lykke,-0.0008,BTC,10.39,CHF,0,
12/10/2017 02:20:38,CashIn,Lykke,0.52412614,BTC,,,0,
11/20/2017 21:44:30,CashOut,Lykke,-0.01222,BTC,,,0,
11/20/2017 12:52:49,Trade,Lykke,0.01222,BTC,-100.01,CHF,0,
11/20/2017 10:03:59,CashIn,Lykke,100,CHF,,,0,
11/16/2017 12:50:27,CashOut,Lykke,-0.02334,BTC,,,0,
11/16/2017 12:45:55,Trade,Lykke,0.00334,BTC,-25.05,CHF,0,
11/16/2017 12:44:51,Trade,Lykke,0.02,BTC,-150,CHF,0,
11/16/2017 12:42:16,CashIn,Lykke,175,CHF,,,0,
11/15/2017 19:26:36,CashOut,Lykke,-0.0069,BTC,,,0,
11/15/2017 19:24:06,Trade,Lykke,0.0069,BTC,-49.88,CHF,0,
11/15/2017 09:59:12,CashIn,Lykke,50,CHF,,,0,
